,Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg,tel.cq,scg.cq,top,bottom,ratio,ratio2,mean,sd,zscore
26,24.1,21.036,13.972,1.843,1.906,2,11.724,17.977,-2.248,-3.059,0.234576082,0.154084162,1.522389323,1.522389323,1.640219047,2.430962925,-0.048399455
27,24.1,22.36,17.317,1.843,1.906,2,11.724,17.977,-5.593,-4.383,0.027118936,0.068580786,0.395430519,0.395430519,,,-0.512168511
28,24.13,27.83,18.964,1.843,1.906,2,11.724,17.977,-7.24,-9.853,0.009373682,0.002419797,3.873747943,3.873747943,,,0.919237837
29,24.2,22.379,17.23,1.843,1.906,2,11.724,17.977,-5.506,-4.402,0.028684239,0.067788726,0.423141731,0.423141731,,,-0.50076472
30,24.3,19.222,12.229,1.843,1.906,2,11.724,17.977,-0.505,-1.245,0.72200123,0.467111928,1.545670719,1.545670719,,,-0.038818634
31,24.6,21.925,16.897,1.843,1.906,2,11.724,17.977,-5.173,-3.948,0.03555693,0.08947588,0.397391232,0.397391232,,,-0.511361633
32,41.14,18.8,10.005,1.843,1.906,2,11.724,17.977,1.719,-0.823,3.030618421,0.604606273,5.012548752,5.012548752,,,1.387880145
33,41.141,17.964,11.958,1.843,1.906,2,11.724,17.977,-0.234,0.013,0.859906521,1.007979801,0.853098961,0.853098961,,,-0.323827588
34,41.142,17.472,8.862,1.843,1.906,2,11.724,17.977,2.862,0.505,6.334491084,1.36172777,4.651804291,4.651804291,,,1.239425634
35,41.143,17.322,9.534,1.843,1.906,2,11.724,17.977,2.19,0.655,4.106474619,1.49251634,2.751376657,2.751376657,,,0.457356649
36,41.144,15.663,11.688,1.843,1.906,2,11.724,17.977,0.036,2.314,1.023491934,4.115528615,0.248690273,0.248690273,,,-0.572555443
37,41.146,17.428,12.172,1.843,1.906,2,11.724,17.977,-0.448,0.549,0.749039883,1.398857285,0.535465548,0.535465548,,,-0.454540927
1,18.CR1,18.434,13.285,1.843,1.906,2,11.724,17.977,-1.561,-0.457,0.365366024,0.756231776,0.483140269,0.483140269,,,-0.476073963
2,18.CR12,18.612,13.154,1.843,1.906,2,11.724,17.977,-1.43,-0.635,0.397579752,0.678252514,0.586182496,0.586182496,,,-0.433669755
3,18.CR2,19.768,14.295,1.843,1.906,2,11.724,17.977,-2.571,-1.791,0.190460111,0.334536974,0.569324547,0.569324547,,,-0.440607182
4,18.CR4,19.329,14.088,1.843,1.906,2,11.724,17.977,-2.364,-1.352,0.217665437,0.437531924,0.497484697,0.497484697,,,-0.470170906
5,18.CR5,18.545,12.613,1.843,1.906,2,11.724,17.977,-0.889,-0.568,0.56359969,0.706612978,0.797607328,0.797607328,,,-0.346663651
6,21.CR1,19.043,10.477,1.843,1.906,2,11.724,17.977,1.247,-1.066,2.235183854,0.521134701,4.289071233,4.289071233,,,1.090152771
7,21.CR2,21.675,14.023,1.843,1.906,2,11.724,17.977,-2.299,-3.698,0.226985158,0.1042527,2.177259284,2.177259284,,,0.221094355
8,21.CR3,19.104,10.435,1.843,1.906,2,11.724,17.977,1.289,-1.127,2.296563263,0.502056908,4.57430866,4.57430866,,,1.207534428
9,21.CR5,17.981,10.869,1.843,1.906,2,11.724,17.977,0.855,-0.004,1.735821552,0.997557409,1.740071836,1.740071836,,,0.041181825
10,21.CR6,18.66,10.915,1.843,1.906,2,11.724,17.977,0.809,-0.683,1.685075728,0.658637109,2.558428163,2.558428163,,,0.377953976
11,21.CR7,19.09,11.256,1.843,1.906,2,11.724,17.977,0.468,-1.113,1.352376188,0.506372721,2.670712958,2.670712958,,,0.424161711
12,21.RQ1,19.347,12.021,1.839,1.907,3,11.226,17.531,-0.795,-1.816,0.598578618,0.330765024,1.809679302,1.809679302,,,0.069826873
13,21.RQ2,20.114,13.084,1.839,1.907,3,11.226,17.531,-1.858,-2.583,0.301375825,0.207293361,1.453861443,1.453861443,,,-0.076600229
14,21.RQ3,18.002,12.88,1.839,1.907,3,11.226,17.531,-1.654,-0.471,0.343795315,0.750554107,0.458055338,0.458055338,,,-0.48639698
15,21.RQ4,18.713,13.66,1.839,1.907,3,11.226,17.531,-2.434,-1.182,0.207790847,0.486703418,0.426935253,0.426935253,,,-0.4992036
16,21.RQ5,19.966,12.039,1.839,1.907,3,11.226,17.531,-0.813,-2.435,0.591663648,0.226852458,2.608142987,2.608142987,,,0.398412752
17,21.RQ6,21.674,16.073,1.839,1.907,3,11.226,17.531,-4.847,-4.143,0.043766336,0.080137889,0.546137874,0.546137874,,,-0.450149023
18,22.CT2,19.187,8.054,1.847,1.848,1,8.581,17.333,0.527,-1.854,1.382139684,0.320605063,4.311035118,4.311035118,,,1.099191407
19,22.CT3,17.122,8.908,1.847,1.848,1,8.581,17.333,-0.327,0.211,0.818066214,1.138215551,0.71872697,0.71872697,,,-0.379124704
20,22.CT4,18.925,7.446,1.847,1.848,1,8.581,17.333,1.135,-1.592,2.007736583,0.376517098,5.33239153,5.33239153,,,1.519502687
21,22.CT5,16.862,8.534,1.847,1.848,1,8.581,17.333,0.047,0.471,1.029283456,1.335075751,0.770955098,0.770955098,,,-0.357631647
22,22.CT6,19.32,7.887,1.847,1.848,1,8.581,17.333,0.694,-1.987,1.531408894,0.295481489,5.18275747,5.18275747,,,1.457924885
23,22.CT7,18.195,7.888,1.847,1.848,1,8.581,17.333,0.693,-0.862,1.530468738,0.589258066,2.597280931,2.597280931,,,0.39394277
24,22.CT8,17.763,9.298,1.847,1.848,1,8.581,17.333,-0.717,-0.43,0.64383516,0.7681026,0.838215051,0.838215051,,,-0.329952654
25,22.CT9,19.567,12.048,1.847,1.848,1,8.581,17.333,-3.467,-2.234,0.118944477,0.253929382,0.468415573,0.468415573,,,-0.482133509
38,BT1,18.586,10.703,1.847,1.848,1,8.581,17.333,-2.122,-1.253,0.271680474,0.463571769,0.586059144,0.586059144,,,-0.433720517
39,BT10,17.669,17.495,1.847,1.848,1,8.581,17.333,-8.914,-0.336,0.004193906,0.81370526,0.005154085,0.005154085,,,-0.672776097
40,BT14.12,17.704,13.272,1.839,1.907,3,11.226,17.531,-2.046,-0.173,0.266933132,0.899968608,0.296602714,0.296602714,,,-0.552838389
41,BT14.13,17.411,12.531,1.839,1.907,3,11.226,17.531,-1.305,0.12,0.430667744,1.075845252,0.400306404,0.400306404,,,-0.510161974
42,BT14.14,16.314,11.933,1.839,1.907,3,11.226,17.531,-0.707,1.217,0.633566287,2.09892038,0.301853416,0.301853416,,,-0.550677606
43,BT14.15,17.327,12.774,1.839,1.907,3,11.226,17.531,-1.548,0.204,0.368143492,1.132334326,0.325119078,0.325119078,,,-0.54110326
44,BT14.16,15.674,11.266,1.839,1.907,3,11.226,17.531,-0.04,1.857,0.974509265,3.099761438,0.314382021,0.314382021,,,-0.545521802
45,BT14.3,16.887,10.232,1.839,1.907,3,11.226,17.531,0.994,0.644,1.899628116,1.480439396,1.283151557,1.283151557,,,-0.146851211
46,BT16.3,31.1,18.413,1.839,1.907,3,11.226,17.531,-7.187,-13.569,0.009663169,0.000256975,37.60356786,,,,-0.674897119
47,BT2,19.161,10.351,1.847,1.848,1,8.581,17.333,-1.77,-1.828,0.337238787,0.325760569,1.035235136,1.035235136,,,-0.24887443
48,BT3,17.544,7.238,1.847,1.848,1,8.581,17.333,1.343,-0.211,2.281291286,0.878568211,2.596601218,2.596601218,,,0.393663053
49,BT4,17.496,6.473,1.847,1.848,1,8.581,17.333,2.108,-0.163,3.649284699,0.904827718,4.033126557,4.033126557,,,0.984825744
51,BT42.154,18.133,13.402,1.839,1.907,3,11.226,17.531,-2.176,-0.602,0.245446527,0.692981753,0.354189019,0.354189019,,,-0.529140321
52,BT42.155,17.286,10.699,1.839,1.907,3,11.226,17.531,0.527,0.245,1.405221595,1.16097408,1.21038154,1.21038154,,,-0.17679772
53,BT42.159,17.734,8.152,1.839,1.907,3,11.226,17.531,3.074,-0.203,7.274414277,0.883669588,8.23205231,8.23205231,,,2.712778728
54,BT42.161,17.852,12.054,1.839,1.907,3,11.226,17.531,-0.828,-0.321,0.585962234,0.822373799,0.712525417,0.712525417,,,-0.381676783
55,BT42.170,16.568,8.299,1.839,1.907,3,11.226,17.531,2.927,0.963,6.615862622,1.798010424,3.67954631,3.67954631,,,0.839319469
50,BT42.172,18.247,11.807,1.839,1.907,3,11.226,17.531,-0.581,-0.716,0.687252372,0.646486532,1.063057524,1.063057524,,,-0.237424887
56,BT5,18.723,9.475,1.847,1.848,1,8.581,17.333,-0.894,-1.39,0.577521879,0.426197615,1.35505657,1.35505657,,,-0.117260671
57,BT6,20.532,9.592,1.847,1.848,1,8.581,17.333,-1.011,-3.199,0.537482479,0.140466384,3.826413587,3.826413587,,,0.899758678
58,BT7,18.563,24.237,1.847,1.848,1,8.581,17.333,-15.656,-1.23,6.68E-05,0.470160044,0.000141993,0.000141993,,,-0.674838686
59,BT8,18.301,7.772,1.847,1.848,1,8.581,17.333,0.809,-0.968,1.643470418,0.552153774,2.976472305,2.976472305,,,0.549988603
60,BT9,16.849,9.47,1.847,1.848,1,8.581,17.333,-0.889,0.484,0.579297896,1.345767318,0.43045918,0.43045918,,,-0.497753424
61,CT10,19.832,8.692,1.847,1.848,1,8.581,17.333,-0.111,-2.499,0.934105828,0.215823747,4.328095683,4.328095683,,,1.106212215
62,CT10.10,16.847,12.177,1.839,1.907,3,11.226,17.531,-0.951,0.684,0.54123577,1.516959209,0.35678993,0.35678993,,,-0.528069988
63,CT10.11,18.861,12.973,1.839,1.907,3,11.226,17.531,-1.747,-1.33,0.323763092,0.444740111,0.727982667,0.727982667,,,-0.375315775
64,CT10.12,17.903,12.755,1.839,1.907,3,11.226,17.531,-1.529,-0.372,0.372686611,0.797215248,0.467485552,0.467485552,,,-0.482516234
65,CT10.13,18.089,12.558,1.839,1.907,3,11.226,17.531,-1.332,-0.558,0.423226523,0.711808869,0.594578884,0.594578884,,,-0.430214451
66,CT10.14,16.615,10.32,1.839,1.907,3,11.226,17.531,0.906,0.916,1.794724237,1.747257301,1.02716654,1.02716654,,,-0.252194839
67,CT10.15,15.688,11.726,1.839,1.907,3,11.226,17.531,-0.5,1.843,0.724143528,3.073435667,0.235613693,0.235613693,,,-0.577936752
68,CT2,20.204,11.465,1.839,1.907,3,11.226,17.531,-0.239,-2.673,0.857030315,0.196233449,4.367401778,4.367401778,,,1.122387563
69,CT3,20.209,11.863,1.839,1.907,3,11.226,17.531,-0.637,-2.678,0.662852057,0.19563661,3.388180038,3.388180038,,,0.719415654
70,CT4,17.042,13.099,1.839,1.907,3,11.226,17.531,-1.873,0.489,0.298471695,1.347039918,0.221575984,0.221575984,,,-0.583713587
71,CT5,18.317,10.098,1.839,1.907,3,11.226,17.531,1.128,-0.786,2.071264595,0.619496363,3.343465305,3.343465305,,,0.701014529
72,CT6,18.758,14.024,1.839,1.907,3,11.226,17.531,-2.798,-1.227,0.164277756,0.473541688,0.346912974,0.346912974,,,-0.532134578
73,CT7,19.82,12.008,1.839,1.907,3,11.226,17.531,-0.782,-2.289,0.60362297,0.247954744,2.43440783,2.43440783,,,0.326916803
74,EM12.13,18.536,13.201,1.843,1.906,2,11.724,17.977,-1.477,-0.559,0.385707854,0.71051187,0.542859128,0.542859128,,,-0.451498301
75,EM12.14,15.891,11.06,1.843,1.906,2,11.724,17.977,0.664,2.086,1.534622648,3.580023268,0.428662758,0.428662758,,,-0.498492692
76,EM12.15,16.232,11.867,1.843,1.906,2,11.724,17.977,-0.143,1.745,0.911889943,2.906308486,0.313762268,0.313762268,,,-0.545776844
77,EM12.16,17.031,12.137,1.843,1.906,2,11.724,17.977,-0.413,0.946,0.766141952,1.78314626,0.429657381,0.429657381,,,-0.498083382
78,EM12.7,16.525,10.003,1.843,1.906,2,11.724,17.977,1.721,1.452,3.034530483,2.429644799,1.248960541,1.248960541,,,-0.160921588
79,EM12.8,19.112,11.25,1.843,1.906,2,11.724,17.977,0.474,-1.135,1.35762008,0.499607264,2.717374579,2.717374579,,,0.443364024
80,EM39.101,19.619,12.431,1.843,1.906,2,11.724,17.977,-0.707,-1.642,0.633801281,0.366443818,1.729600144,1.729600144,,,0.036872487
81,EM39.102,17.665,14.069,1.843,1.906,2,11.724,17.977,-2.345,0.312,0.220349367,1.210163095,0.182082373,0.182082373,,,-0.599966102
82,EM39.103,18.572,15.202,1.843,1.906,2,11.724,17.977,-3.478,-0.595,0.106104198,0.695044203,0.152658201,0.152658201,,,-0.612074814
83,EM39.104,17.78,13.34,1.843,1.906,2,11.724,17.977,-1.616,0.197,0.35263174,1.127998419,0.312617228,0.312617228,,,-0.546248054
84,EM39.105,17.439,13.975,1.843,1.906,2,11.724,17.977,-2.251,0.538,0.234122612,1.389481057,0.16849644,0.16849644,,,-0.60555702
85,EM39.106,17.921,14.069,1.843,1.906,2,11.724,17.977,-2.345,0.056,0.220349367,1.034830973,0.212932714,0.212932714,,,-0.587270488
86,EP50.370,16.402,10.096,1.839,1.907,3,11.226,17.531,1.13,1.129,2.073940455,1.98935721,1.042517877,1.042517877,,,-0.245877417
87,EP50.371,16.187,10.284,1.839,1.907,3,11.226,17.531,0.942,1.344,1.836920466,2.267763934,0.810013969,0.810013969,,,-0.341558037
88,EP50.372,17.18,11.13,1.839,1.907,3,11.226,17.531,0.096,0.351,1.063931498,1.238420656,0.859103483,0.859103483,,,-0.321356592
89,EP50.373,16.701,12.462,1.839,1.907,3,11.226,17.531,-1.236,0.83,0.450284029,1.6580699,0.271571198,0.271571198,,,-0.563139425
90,EP50.374,18.225,11.912,1.839,1.907,3,11.226,17.531,-0.686,-0.694,0.642213491,0.655209642,0.980164896,0.980164896,,,-0.27153708
91,EP50.375,16.617,10.651,1.839,1.907,3,11.226,17.531,0.575,0.914,1.449444693,1.745129663,0.830565616,0.830565616,,,-0.33310057
92,EP6.35,18.74,13.745,1.843,1.906,2,11.724,17.977,-2.021,-0.763,0.271563643,0.627197284,0.432979622,0.432979622,,,-0.496716205
93,EP6.77,19.883,13.235,1.843,1.906,2,11.724,17.977,-1.511,-1.906,0.377341267,0.311823406,1.21011207,1.21011207,,,-0.176908613
94,EP6.78,26.286,18.12,1.843,1.906,2,11.724,17.977,-6.396,-8.309,0.016156004,0.006219421,2.597669921,2.597669921,,,0.394102848
95,EP6.79,25.066,17.354,1.843,1.906,2,11.724,17.977,-5.63,-7.089,0.026479397,0.013112663,2.019376022,2.019376022,,,0.15612182
96,EP6.80,21.82,14.723,1.843,1.906,2,11.724,17.977,-2.999,-3.843,0.144514503,0.095408295,1.514695368,1.514695368,,,-0.051565692
97,G1,19.33,8.316,1.847,1.848,1,8.581,17.333,0.265,-1.997,1.17672782,0.293674075,4.006917599,4.006917599,,,0.974040164
98,G10,18.252,7.066,1.847,1.848,1,8.581,17.333,1.515,-0.919,2.53544083,0.569006101,4.455911501,4.455911501,,,1.158811317
99,G11,18.95,8.208,1.847,1.848,1,8.581,17.333,0.373,-1.617,1.257418465,0.370785746,3.391226549,3.391226549,,,0.720669362
100,G2,20.96,12.665,1.847,1.848,1,8.581,17.333,-4.084,-3.627,0.081430887,0.108025073,0.753814691,0.753814691,,,-0.364685312
101,G4,18.227,9.84,1.847,1.848,1,8.581,17.333,-1.259,-0.894,0.461553686,0.577801408,0.798810249,0.798810249,,,-0.346168622
102,G5,20.145,8.882,1.847,1.848,1,8.581,17.333,-0.301,-2.812,0.831232869,0.178112783,4.666890574,4.666890574,,,1.245633981
103,G6,19.869,11.029,1.847,1.848,1,8.581,17.333,-2.448,-2.536,0.222389145,0.210979352,1.054080143,1.054080143,,,-0.241119283
104,G7,17.313,7.805,1.847,1.848,1,8.581,17.333,0.776,0.02,1.610499989,1.012346855,1.590857898,1.590857898,,,-0.020223087
105,G8,18.025,9.992,1.847,1.848,1,8.581,17.333,-1.411,-0.692,0.420420152,0.654040901,0.642804068,0.642804068,,,-0.410368696
106,G9,18.371,9.896,1.847,1.848,1,8.581,17.333,-1.315,-1.038,0.445950765,0.528941159,0.843100896,0.843100896,,,-0.327942018
107,GR11.1,18.272,10.449,1.843,1.906,2,11.724,17.977,1.275,-0.295,2.275918431,0.834968374,2.725754054,2.725754054,,,0.446812368
108,GR11.2,24.871,17.865,1.843,1.906,2,11.724,17.977,-6.141,-6.894,0.019044312,0.014772988,1.289130711,1.289130711,,,-0.144390654
109,GR11.3,17.636,10.706,1.843,1.906,2,11.724,17.977,1.018,0.341,1.928257852,1.231811174,1.565384283,1.565384283,,,-0.030706056
110,GR11.4,18.517,11.644,1.843,1.906,2,11.724,17.977,0.08,-0.54,1.05295505,0.718813656,1.464851205,1.464851205,,,-0.072077693
