Year,SampleName,Env.type,locality_code,locality,elevation,max.temp,mean.temp,min.temp,RH.mean,wind.mean,sol_rad,TSKY.mean,sex,SVL,morphotype,tissue_type,zscore,ratio,Age,Age2,Total_Heatwaves,Total_Droughts
2012,,,,,,,,,,,,,,,,,,,,,2,4
2013,EP6.78,C,EP,El Pris,163,25.03,22.73,20.44,72.27,4.73,239.5,13.22,F,8.7,eisentrauti,blood,0.394102848,2.597669921,4.207,4.635417953,1,4
2013,EP6.79,C,EP,El Pris,163,25.03,22.73,20.44,72.27,4.73,239.5,13.22,F,9.6,eisentrauti,blood,0.15612182,2.019376022,4.747,5.827825663,1,4
2013,EP6.80,C,EP,El Pris,163,25.03,22.73,20.44,72.27,4.73,239.5,13.22,F,9.8,eisentrauti,blood,-0.051565692,1.514695368,4.867,6.104203543,1,4
2013,EP6.77,C,EP,El Pris,163,25.03,22.73,20.44,72.27,4.73,239.5,13.22,F,10,eisentrauti,blood,-0.176908613,1.21011207,4.987,6.382854659,1,4
2013,EP6.35,C,EP,El Pris,163,25.03,22.73,20.44,72.27,4.73,239.5,13.22,M,13.3,eisentrauti,blood,-0.496716205,0.432979622,6.967,10.53236152,1,4
2014,PH2.23,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,F,9.2,eisentrauti,blood,-0.452869893,0.539526159,4.507,5.285467798,1,1
2014,PH2.11,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,F,9.5,eisentrauti,blood,-0.52636379,0.36093599,4.687,5.690773542,1,1
2014,PH2.24,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,F,9.8,eisentrauti,blood,-0.526198255,0.361338242,4.867,6.104203543,1,1
2014,PH2.16,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,F,10.5,eisentrauti,blood,-0.415722088,0.629795326,5.287,7.083246018,1,1
2014,PH2.12,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,F,12,eisentrauti,blood,-0.483130383,0.465993168,6.187,9.089646513,1,1
2014,PH2.30,C,PH,Punta del Hidalgo,36,23.79,21.96,19.71,74.05,2.31,214.18,12.5,M,13.1,eisentrauti,blood,-0.499156727,0.427049152,6.847,10.33374717,1,1
2014,24.1,RA,RA,Roque de Anaga,26,23.8,22,20.06,73.8,4.55,235,12.54,F,,insulanagae,blood,-0.048399455,1.522389323,,,1,1
2014,24.13,RA,RA,Roque de Anaga,25,23.8,22,20.06,73.8,4.55,235,12.54,F,,insulanagae,blood,0.919237837,3.873747943,,,1,1
2014,24.1,RA,RA,Roque de Anaga,26,23.8,22,20.06,73.8,4.55,235,12.54,U,,insulanagae,blood,-0.512168511,0.395430519,,,1,1
2014,24.2,RA,RA,Roque de Anaga,27,23.8,22,20.06,73.8,4.55,235,12.54,U,,insulanagae,blood,-0.50076472,0.423141731,,,1,1
2014,24.3,RA,RA,Roque de Anaga,28,23.8,22,20.06,73.8,4.55,235,12.54,U,,insulanagae,blood,-0.038818634,1.545670719,,,1,1
2014,24.6,RA,RA,Roque de Anaga,29,23.8,22,20.06,73.8,4.55,235,12.54,U,,insulanagae,blood,-0.511361633,0.397391232,,,1,1
2015,,,,,,,,,,,,,,,,,,,,,15,3
2016,PH3.29,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,13,eisentrauti,blood,-0.392452991,0.686339233,6.787,10.23112331,10,15
2016,PH3.30,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,13.1,eisentrauti,blood,-0.46835102,0.501907021,6.847,10.33374717,10,15
2016,PH3.27,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,13.5,eisentrauti,blood,-0.30081479,0.909020061,7.087,10.72206723,10,15
2016,PH3.31,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,13.6,eisentrauti,blood,-0.428952017,0.597646598,7.147,10.81357071,10,15
2016,PH3.28,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,13.7,eisentrauti,blood,-0.147489501,1.281600513,7.207,10.90284439,10,15
2016,PH3.34,C,PH,Punta del Hidalgo,36,23.9,22.06,19.9,74.37,2.57,210.36,12.85,M,14,eisentrauti,blood,-0.536614326,0.336027187,7.387,11.1573718,10,15
2016,ME01,A,EM,El Medano,121,25.17,23.28,21.29,70.94,3.57,245.57,13.77,F,,galloti,blood,-0.417806314,0.624730658,,,10,15
2016,ME02,A,EM,El Medano,121,25.17,23.28,21.29,70.94,3.57,245.57,13.77,F,,galloti,blood,-0.168683999,1.230097882,,,10,15
2016,BT16.3,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,M,,galloti,blood,-0.24887443,1.035235136,,,10,15
2016,ME03,A,EM,El Medano,121,25.17,23.28,21.29,70.94,3.57,245.57,13.77,M,,galloti,blood,-0.111245984,1.36967226,,,10,15
2016,VL16.14,B,VL,Vilaflor,1331,18.93,16.87,14.46,99.06,1.89,241.94,7.29,U,,galloti,blood,,,,,10,15
2017,CT10.10,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,U,6.4,galloti,blood,-0.528069988,0.35678993,2.827,2.264938979,21,15
2017,CT10.12,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,U,6.8,galloti,blood,-0.482516234,0.467485552,3.067,2.594658997,21,15
2017,CT10.15,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,F,7.6,galloti,blood,-0.577936752,0.235613693,3.547,3.360540448,21,15
2017,BT14.12,D,BT,Base of Teide,2309,15.85,13.36,11.2,99.99,1.56,238.77,2.6,F,8,galloti,blood,-0.510161974,0.400306404,3.787,3.796102681,21,15
2017,VL13.13,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,F,8,galloti,blood,-0.65119309,0.057600791,3.787,3.796102681,21,15
2017,CT10.11,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,F,8.2,galloti,blood,-0.375315775,0.727982667,3.907,4.026366754,21,15
2017,VL13.11,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,F,8.2,galloti,blood,0.102500494,1.889076201,3.907,4.026366754,21,15
2017,VL13.15,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,F,8.2,galloti,blood,-0.181676116,1.198527038,3.907,4.026366754,21,15
2017,BT14.16,D,BT,Base of Teide,2309,15.85,13.36,11.2,99.99,1.56,238.77,2.6,F,8.3,galloti,blood,-0.146851211,1.283151557,3.967,4.144472585,21,15
2017,EM12.16,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,F,8.6,galloti,blood,-0.498083382,0.429657381,4.147,4.510030152,21,15
2017,GR11.6,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,F,8.9,galloti,blood,-0.161108819,1.248505569,4.327,4.891063952,21,15
2017,EM12.8,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,M,9.6,galloti,blood,0.443364024,2.717374579,4.747,5.827825663,21,15
2017,VL13.10,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,M,9.7,galloti,blood,-0.475912713,0.483532108,4.807,5.965673024,21,15
2017,GR11.2,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,F,9.75,galloti,blood,-0.144390654,1.289130711,4.837,6.034859987,21,15
2017,BT14.13,D,BT,Base of Teide,2309,15.85,13.36,11.2,99.99,1.56,238.77,2.6,F,9.8,galloti,blood,-0.550677606,0.301853416,4.867,6.104203543,21,15
2017,GR11.3,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,F,9.8,galloti,blood,-0.030706056,1.565384283,4.867,6.104203543,21,15
2017,CT10.13,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,M,9.8,galloti,blood,-0.430214451,0.594578884,4.867,6.104203543,21,15
2017,VL13.14,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,M,10,galloti,blood,-0.436672618,0.578885539,4.987,6.382854659,21,15
2017,CT10.14,D,CT,Cone of Teide,3551,10.49,7.83,5.35,100,2.18,228.75,0,M,10.1,galloti,blood,-0.252194839,1.02716654,5.047,6.522741145,21,15
2017,BT14.3,D,BT,Base of Teide,2309,15.14,13.01,10.68,100,1.57,235.15,2.23,M,10.4,galloti,blood,,,5.227,6.94321577,21,15
2017,EM12.15,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,F,10.5,galloti,blood,-0.545776844,0.313762268,5.287,7.083246018,21,15
2017,EM12.7,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,M,10.8,galloti,blood,-0.160921588,1.248960541,5.467,7.501283371,21,15
2017,VL13.12,B,VL,Vilaflor,1331,20.25,17.86,15.83,97.48,2.06,249.72,8.43,M,10.8,galloti,blood,-0.483331109,0.465505406,5.467,7.501283371,21,15
2017,BT14.15,D,BT,Base of Teide,2309,15.85,13.36,11.2,99.99,1.56,238.77,2.6,M,11,galloti,blood,-0.545521802,0.314382021,5.587,7.777096805,21,15
2017,BT14.14,D,BT,Base of Teide,2309,15.85,13.36,11.2,99.99,1.56,238.77,2.6,U,,galloti,blood,-0.54110326,0.325119078,,,21,15
2017,EM12.13,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,U,,galloti,blood,-0.451498301,0.542859128,,,21,15
2017,EM12.14,A,EM,El Medano,121,25.65,23.37,21.45,71.87,4.57,251.98,13.87,U,,galloti,blood,-0.498492692,0.428662758,,,21,15
2017,GR11.1,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,U,,galloti,blood,0.446812368,2.725754054,,,21,15
2017,GR11.4,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,U,,galloti,blood,-0.072077693,1.464851205,,,21,15
2017,GR11.5,A,GR,Granadilla,734,23.43,21.11,19.05,82.44,4.18,242.56,11.72,U,,galloti,blood,-0.550025627,0.303437725,,,21,15
2017,LG15.13,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,0.052494829,1.767562435,,,21,15
2017,LG15.14,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,-0.505049616,0.412729433,,,21,15
2017,LG15.15,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,-0.381443519,0.713092249,,,21,15
2017,LG15.16,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,-0.597096121,0.189056426,,,21,15
2017,LG15.17,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,-0.590550482,0.204962328,,,21,15
2017,LG15.18,C,LG,La Guancha,265,24.85,22.55,20.23,75.57,4.72,225.54,13.09,U,,eisentrauti,blood,-0.550787105,0.301587335,,,21,15
2018,TSE18,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,8.2,galloti,tail,0.04175939,1.741475318,3.907,4.026366754,5,12
2018,TSE17,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,8.5,galloti,tail,0.474872425,2.793939993,4.087,4.386365202,5,12
2018,TRE7,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,F,9.2,galloti,tail,-0.481979646,0.46878946,4.507,5.285467798,5,12
2018,P32.3,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,9.2,galloti,blood,-0.531050526,0.349547222,4.507,5.285467798,5,12
2018,TSE19,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,9.3,galloti,tail,-0.198099245,1.158618834,4.567,5.419489796,5,12
2018,TSE20,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,9.4,galloti,tail,-0.507044696,0.407881388,4.627,5.554626099,5,12
2018,TSE22,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,9.4,galloti,tail,-0.167759584,1.232344211,4.627,5.554626099,5,12
2018,IO29.3,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,F,9.6,galloti,blood,-0.354088431,0.779565113,4.747,5.827825663,5,12
2018,P32.14,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,9.6,galloti,blood,-0.206775044,1.137536643,4.747,5.827825663,5,12
2018,P32.6,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,9.6,galloti,blood,-0.57002987,0.254827416,4.747,5.827825663,5,12
2018,IO29.1,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,M,10,galloti,blood,-0.619161211,0.135438257,4.987,6.382854659,5,12
2018,18.CR12,B,CR,Cruz de Tea,981,20.67,18.49,16.23,92.19,1.56,237.73,9.09,M,10.4,galloti,tail,-0.433669755,0.586182496,5.227,6.94321577,5,12
2018,IO29.9,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,F,10.6,galloti,blood,-0.516313102,0.385359161,5.347,7.223012854,5,12
2018,TRE3,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,F,10.8,galloti,tail,-0.550440735,0.302429014,5.467,7.501283371,5,12
2018,TRE9,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,F,10.8,galloti,tail,-0.596411087,0.190721058,5.467,7.501283371,5,12
2018,TSE16,D,TSE,Teide Slope,2729,12.9,10.49,7.52,100,2.52,228.18,0,F,10.8,galloti,tail,-0.47224494,0.492444795,5.467,7.501283371,5,12
2018,18.CR2,B,CR,Cruz de Tea,983,20.67,18.49,16.23,92.19,1.56,237.73,9.09,M,10.9,galloti,tail,-0.440607182,0.569324547,5.527,7.639554231,5,12
2018,18.CR5,B,CR,Cruz de Tea,985,20.67,18.49,16.23,92.19,1.56,237.73,9.09,M,11,galloti,tail,-0.346663651,0.797607328,5.587,7.777096805,5,12
2018,18.CR4,B,CR,Cruz de Tea,984,20.67,18.49,16.23,92.19,1.56,237.73,9.09,M,11.1,galloti,tail,-0.470170906,0.497484697,5.647,7.913800028,5,12
2018,P32.4,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,11.2,galloti,blood,-0.519261404,0.378194788,5.707,8.049555613,5,12
2018,TRE4,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,F,11.4,galloti,tail,-0.584086208,0.220670515,5.827,8.317806562,5,12
2018,18.CR1,B,CR,Cruz de Tea,982,20.67,18.49,16.23,92.19,1.56,237.73,9.09,M,11.4,galloti,tail,-0.476073963,0.483140269,5.827,8.317806562,5,12
2018,IO29.11,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,M,11.5,galloti,blood,-0.529964602,0.352186016,5.887,8.450102087,5,12
2018,IO29.2,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,M,11.7,galloti,blood,-0.55734369,0.285654832,6.007,8.71056289,5,12
2018,IO29.5,D,IO,Izana Observatory,2331,14.66,12.31,9.94,100,2.08,242.93,1.37,M,11.9,galloti,blood,-0.554258418,0.293152044,6.127,8.964939325,5,12
2018,P32.16,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,11.9,galloti,blood,-0.385091558,0.704227513,6.127,8.964939325,5,12
2018,P32.2,A,PA,Poris de Abona,127,24.52,22.45,20.48,72.51,4.99,242.73,12.87,M,11.9,galloti,blood,-0.282566056,0.953364483,6.127,8.964939325,5,12
2018,TRE6,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,F,12,galloti,tail,-0.631624642,0.10515212,6.187,9.089646513,5,12
2018,TRE5,D,TRE,Teide Refuge,2935,11.95,9.5,9.5,100,1.22,208.59,0,M,12.6,galloti,tail,-0.615164743,0.145149674,6.547,9.79897323,5,12
2019,,,,,,,,,,,,,,,,,,,,,3,14
2020,,,,,,,,,,,,,,,,,,,,,14,10
2021,EP50.375,C,EP,El Pris,36,25.22,22.79,20.67,72.77,5.2,240.84,13.14,U,6.7,eisentrauti,blood,-0.33310057,0.830565616,3.007,2.508937337,3,11
2021,CT2,D,CT,Cone of Teide,3551,10.27,7.36,4.95,100,2.22,228.98,0,U,7.1,galloti,tail,1.122387563,4.367401778,3.247,2.865159366,3,11
2021,21.RQ1,D,RQ,Recibo quemado,1907,17.49,14.81,12.56,99.99,5.33,234.42,4.45,F,7.4,galloti,tail,0.069826873,1.809679302,3.427,3.155736887,3,11
2021,GR40.123,A,GR,Granadilla,734,23.24,20.76,18.77,82.35,4.57,242.83,11.21,F,7.4,galloti,blood,-0.218840426,1.108217766,3.427,3.155736887,3,11
2021,CT3,D,CT,Cone of Teide,3551,10.27,7.36,4.95,100,2.22,228.98,0,F,7.5,galloti,tail,0.719415654,3.388180038,3.487,3.257038414,3,11
2021,21.RQ5,D,RQ,Recibo quemado,1907,17.49,14.81,12.56,99.99,5.33,234.42,4.45,U,8,galloti,tail,0.398412752,2.608142987,3.787,3.796102681,3,11
2021,21.RQ6,D,RQ,Recibo quemado,1907,17.49,14.81,12.56,99.99,5.33,234.42,4.45,U,8,galloti,tail,-0.450149023,0.546137874,3.787,3.796102681,3,11
2021,41.141,B,VL,Vilaflor,1331,23.24,20.75,18.77,82.35,4.57,242.83,11.21,F,8.1,galloti,blood,-0.323827588,0.853098961,3.847,3.910227367,3,11
2021,21.RQ2,D,RQ,Recibo quemado,1907,17.49,14.81,12.56,99.99,5.33,234.42,4.45,U,8.1,galloti,tail,-0.076600229,1.453861443,3.847,3.910227367,3,11
2021,21.CR2,B,CR,Cruz de Tea,987,21.51,18.96,16.81,91.7,1.49,242.3,9.5,F,8.2,galloti,tail,0.221094355,2.177259284,3.907,4.026366754,3,11
2021,41.143,B,VL,Vilaflor,1331,23.24,20.75,18.77,82.35,4.57,242.83,11.21,F,8.5,galloti,blood,0.457356649,2.751376657,4.087,4.386365202,3,11
2021,21.CR3,B,CR,Cruz de Tea,988,21.51,18.96,16.81,91.7,1.49,242.3,9.5,F,8.5,galloti,tail,1.207534428,4.57430866,4.087,4.386365202,3,11
2021,CT4,D,CT,Cone of Teide,3551,10.27,7.36,4.95,100,2.22,228.98,0,M,8.5,galloti,tail,-0.583713587,0.221575984,4.087,4.386365202,3,11
2021,CT5,D,CT,Cone of Teide,3551,10.27,7.36,4.95,100,2.22,228.98,0,F,8.7,galloti,tail,0.701014529,3.343465305,4.207,4.635417953,3,11
2021,41.142,B,VL,Vilaflor,1331,23.24,20.75,18.77,82.35,4.57,242.83,11.21,F,8.8,galloti,blood,1.239425634,4.651804291,4.267,4.762455267,3,11
2021,21.CR5,B,CR,Cruz de Tea,989,21.51,18.96,16.81,91.7,1.49,242.3,9.5,M,8.8,galloti,tail,0.041181825,1.740071836,4.267,4.762455267,3,11
